iteration,train_loss,val_loss,train_acc,val_acc
15600,tensor(1.7864),tensor(1.7893),tensor(0.4758),tensor(0.4768)
15700,tensor(1.7909),tensor(1.7789),tensor(0.4727),tensor(0.4810)
15800,tensor(1.7979),tensor(1.7785),tensor(0.4756),tensor(0.4804)
15900,tensor(1.7849),tensor(1.7801),tensor(0.4765),tensor(0.4782)
16000,tensor(1.7956),tensor(1.7701),tensor(0.4754),tensor(0.4828)
16100,tensor(1.7826),tensor(1.7729),tensor(0.4775),tensor(0.4767)
16200,tensor(1.7836),tensor(1.7872),tensor(0.4809),tensor(0.4807)
16300,tensor(1.7863),tensor(1.7792),tensor(0.4789),tensor(0.4863)
16400,tensor(1.7821),tensor(1.7712),tensor(0.4800),tensor(0.4849)
16500,tensor(1.7788),tensor(1.7519),tensor(0.4812),tensor(0.4845)
16600,tensor(1.7860),tensor(1.7642),tensor(0.4810),tensor(0.4856)
16700,tensor(1.7784),tensor(1.7580),tensor(0.4821),tensor(0.4859)
16800,tensor(1.7714),tensor(1.7599),tensor(0.4813),tensor(0.4872)
16900,tensor(1.7643),tensor(1.7514),tensor(0.4822),tensor(0.4875)
17000,tensor(1.7698),tensor(1.7460),tensor(0.4863),tensor(0.4884)
17100,tensor(1.7769),tensor(1.7501),tensor(0.4840),tensor(0.4837)
17200,tensor(1.7573),tensor(1.7597),tensor(0.4854),tensor(0.4883)
17300,tensor(1.7544),tensor(1.7475),tensor(0.4874),tensor(0.4918)
17400,tensor(1.7676),tensor(1.7462),tensor(0.4853),tensor(0.4940)
17500,tensor(1.7575),tensor(1.7381),tensor(0.4848),tensor(0.4903)
17600,tensor(1.7587),tensor(1.7231),tensor(0.4866),tensor(0.4917)
17700,tensor(1.7627),tensor(1.7383),tensor(0.4922),tensor(0.4933)
17800,tensor(1.7562),tensor(1.7392),tensor(0.4898),tensor(0.4954)
17900,tensor(1.7501),tensor(1.7340),tensor(0.4887),tensor(0.4936)
18000,tensor(1.7369),tensor(1.7409),tensor(0.4900),tensor(0.4961)
18100,tensor(1.7401),tensor(1.7285),tensor(0.4932),tensor(0.4973)
18200,tensor(1.7440),tensor(1.7314),tensor(0.4878),tensor(0.4980)
18300,tensor(1.7380),tensor(1.7235),tensor(0.4919),tensor(0.4945)
18400,tensor(1.7408),tensor(1.7314),tensor(0.4950),tensor(0.4973)
18500,tensor(1.7287),tensor(1.7322),tensor(0.4905),tensor(0.4962)
18600,tensor(1.7290),tensor(1.7224),tensor(0.4940),tensor(0.4976)
18700,tensor(1.7307),tensor(1.7153),tensor(0.4925),tensor(0.4969)
18800,tensor(1.7334),tensor(1.7191),tensor(0.4940),tensor(0.4991)
18900,tensor(1.7225),tensor(1.7249),tensor(0.4952),tensor(0.4985)
19000,tensor(1.7161),tensor(1.7139),tensor(0.4971),tensor(0.5022)
19100,tensor(1.7335),tensor(1.7140),tensor(0.4984),tensor(0.5007)
19200,tensor(1.7201),tensor(1.7083),tensor(0.4972),tensor(0.4994)
19300,tensor(1.7205),tensor(1.6912),tensor(0.4949),tensor(0.5003)
19400,tensor(1.7191),tensor(1.7185),tensor(0.5008),tensor(0.5019)
19500,tensor(1.7255),tensor(1.6978),tensor(0.4963),tensor(0.5032)
19600,tensor(1.7177),tensor(1.6894),tensor(0.4955),tensor(0.5059)
19700,tensor(1.7144),tensor(1.7060),tensor(0.4984),tensor(0.5032)
19800,tensor(1.7106),tensor(1.6906),tensor(0.5006),tensor(0.5072)
19900,tensor(1.7077),tensor(1.6804),tensor(0.5011),tensor(0.5065)
